Ime,Priimek,Pozicija,Stevilo_tekem,Minute_na_tekmo,Tocke,Met,Trojke,Prosti_meti
Luka,Samanic,PF,7,23.0,9.9,45.6,25.8,
Shaedon,Sharpe,SG,80,22.2,9.9,47.2,36.0,
Jalen,Suggs,SG,53,23.5,9.9,41.9,32.7,
Thomas,Bryant,C,59,18.3,9.8,62.3,44.1,
Josh,Hart,SF,76,32.3,9.8,52.9,37.2,
Al,Horford,C,63,30.5,9.8,47.6,44.6,
Herbert,Jones,SG,66,29.5,9.8,46.9,33.5,
Keita,Bates-Diop,SF,67,21.7,9.7,50.8,39.4,
Julian,Champagnie,SF,17,18.7,9.7,45.4,40.2,
Cam,Reddish,SG,40,24.8,9.7,44.6,31.3,
Coby,White,PG,74,23.4,9.7,44.3,37.2,
Caleb,Martin,SF,71,29.3,9.6,46.4,35.6,
Isaiah,Joe,SG,73,19.1,9.5,44.1,40.9,
Andrew,Nembhard,PG,75,27.7,9.5,44.1,35.0,
Kyle,Anderson,SF,69,28.4,9.4,50.9,41.0,
Chris,Boucher,C,76,20.0,9.4,49.3,32.8,
Donte,DiVincenzo,SG,72,26.3,9.4,43.5,39.7,
Jalen,McDaniels,PF,80,23.9,9.4,45.5,33.2,
Jalen,Smith,PF,68,18.8,9.4,47.6,28.3,
Gabe,Vincent,PG,68,25.9,9.4,40.2,33.4,
Hamidou,Diallo,SF,56,17.8,9.3,57.3,23.8,
Luke,Kennard,SG,59,22.3,9.3,49.2,49.4,
Deni,Avdija,SF,76,26.6,9.2,43.7,29.7,
Seth,Curry,SG,61,19.9,9.2,46.3,40.5,
Jalen,Duren,C,67,24.9,9.1,64.8,0.0,
Jeenathan,Williams,SG,5,25.4,10.6,61.5,37.5,
Tari,Eason,PF,82,21.6,9.3,44.8,34.3,
Precious,Achiuwa,C,55,20.7,9.2,48.5,26.9,
Walker,Kessler,C,74,23.0,9.2,72.0,33.3,
Bol,Bol,C,70,21.5,9.1,54.6,26.5,
Josh,Green,SG,60,25.7,9.1,53.7,40.2,
Naji,Marshall,SF,77,23.3,9.1,43.3,30.3,
Taurean,Prince,PF,54,22.1,9.1,46.7,38.1,
Jae'Sean,Tate,SF,31,21.8,9.1,48.0,28.3,
Santi,Aldama,PF,77,21.8,9.0,47.0,35.3,
Jose,Alvarado,PG,61,21.5,9.0,41.1,33.6,
Daniel,Gafford,C,78,20.6,9.0,73.2,—,67.9
Mark,Williams,C,43,19.3,9.0,63.7,—,69.1
AJ,Griffin,SF,72,19.5,8.9,46.5,39.0,
Jaden,Hardy,SG,48,14.8,8.8,43.8,40.4,
Shaquille,Harrison,PG,5,24.0,8.8,41.7,30.0,
Terance,Mann,SG,81,23.1,8.8,51.9,38.9,
Royce,O'Neale,PF,76,31.7,8.8,38.6,38.9,
Dennis,Smith Jr.,PG,54,25.7,8.8,41.2,21.6,
T.J.,McConnell,PG,75,20.3,8.7,54.3,44.1,
Jordan,Nwora,SG,62,19.2,8.7,43.6,40.8,
Cedi,Osman,SF,77,20.1,8.7,45.1,37.2,
Landry,Shamet,SG,40,20.2,8.7,37.7,37.7,
Steven,Adams,C,42,27.0,8.6,59.7,0.0,
Ayo,Dosunmu,PG,80,26.2,8.6,49.3,31.2,
Draymond,Green,PF,73,31.5,8.5,52.7,30.5,
Shake,Milton,SG,76,20.6,8.4,47.9,37.8,
Dorian,Finney-Smith,SF,66,30.4,8.3,39.1,33.7,
Gary,Harris,SG,48,24.7,8.3,45.0,43.1,
Terrence,Ross,SG,63,21.1,8.3,43.0,36.8,
Damion,Lee,SG,74,20.4,8.2,44.2,44.5,
Kevin,Love,PF,62,20.0,8.2,38.9,33.4,
Georges,Niang,PF,78,19.4,8.2,44.2,40.1,
Nick,Richards,C,65,18.7,8.2,62.9,100.0,
Aleksej,Pokusevski,C,34,20.6,8.1,43.4,36.5,
Grant,Williams,PF,79,25.9,8.1,45.4,39.5,
Jevon,Carter,PG,81,22.3,8.0,42.3,42.1,
Kemba,Walker,PG,9,16.0,8.0,42.1,25.0,
Kenrich,Williams,SF,53,22.8,8.0,51.7,37.3,
Robert,Williams III,C,35,23.5,8.0,74.7,0.0,
Gabe,York,G,3,18.7,8.0,38.1,33.3,
Ochai,Agbaji,SF,59,20.5,7.9,42.7,35.5,
Chris,Duarte,SF,46,19.5,7.9,36.9,31.6,
Jarred,Vanderbilt,C,78,24.1,7.9,54.8,32.2,
Duane,Washington Jr.,PG,31,12.7,7.9,36.7,36.0,
Jeff,Green,PF,56,19.5,7.8,48.8,28.8,
Tre,Mann,PG,67,17.7,7.7,39.3,31.5,
Pat,Connaughton,SF,61,23.7,7.6,39.2,33.9,
Joe,Harris,SG,74,20.6,7.6,45.7,42.6,
Trey,Lyles,C,74,16.9,7.6,45.8,36.3,
T.J.,Warren,SF,42,16.4,7.5,48.9,32.8,
Torrey,Craig,SF,79,24.7,7.4,45.6,39.5,
Devonte',Graham,PG,73,18.3,7.4,37.4,35.2,
Mitchell,Robinson,C,59,26.9,7.4,67.1,—,48.4
Obi,Toppin,PF,67,15.7,7.4,44.6,34.4,
Trendon,Watford,PF,62,19.1,7.4,56.0,39.1,
Delon,Wright,SG,50,24.4,7.4,47.4,34.5,
Jay,Huff,C,7,13.6,7.3,60.0,50.0,
Josh,Okogie,SF,72,18.8,7.3,39.1,33.5,
Reggie,Bullock,SF,78,30.3,7.2,40.9,38.0,
Isaiah,Jackson,C,63,16.5,7.2,56.3,14.3,
Troy,Brown Jr.,SF,76,24.5,7.1,43.0,38.1,
Willy,Hernangomez,C,37,12.4,7.1,52.7,27.3,
Kendrick,Nunn,SG,70,13.7,7.1,42.4,35.4,
Edmond,Sumner,PG,53,13.9,7.1,46.1,35.6,
Kevon,Looney,C,82,23.9,7.0,63.0,0.0,
Eugene,Omoruyi,SF,40,16.1,7.0,44.3,28.1,
Joshua,Primo,SG,4,23.3,7.0,34.6,25.0,
Daniel,Theis,C,7,15.6,7.0,47.7,18.2,
Xavier,Tillman,PF,61,19.3,7.0,61.4,26.7,
Jae,Crowder,PF,18,18.9,6.9,47.9,43.6,
Joe,Ingles,SG,46,22.7,6.9,43.5,40.9,
Ty,Jerome,SG,45,18.1,6.9,48.8,38.9,
Cory,Joseph,PG,62,19.8,6.9,42.7,38.9,
Romeo,Langford,SG,43,19.7,6.9,46.7,26.2,
Svi,Mykhailiuk,SF,32,14.6,6.9,44.5,42.4,
Ben,Simmons,PG,42,26.3,6.9,56.6,0.0,
Will,Barton,SG,56,17.7,6.8,37.9,36.7,
Larry,Nance Jr.,PF,65,21.2,6.8,61.0,33.3,
Jeremiah,Robinson-Earl,C,43,18.9,6.8,44.4,33.3,
Aaron,Wiggins,SF,70,18.5,6.8,51.2,39.3,
Justise,Winslow,SG,29,26.8,6.8,40.9,31.1,
Terence,Davis,SG,64,13.1,6.7,42.3,36.6,
Anthony,Lamb,SF,62,19.2,6.7,47.1,36.7,
Isaiah,Livers,SF,52,23.0,6.7,41.7,36.5,
Theo,Maledon,PG,44,19.4,6.7,40.2,29.5,
Dwight,Powell,C,76,19.2,6.7,73.2,0.0,
David,Roddy,SF,70,18.0,6.7,42.9,30.7,
Mo,Bamba,C,49,15.7,6.6,48.5,38.7,
Drew,Eubanks,C,78,20.3,6.6,64.1,38.9,
Kevin,Knox II,SF,63,15.1,6.6,45.8,34.9,
Jock,Landale,C,69,14.2,6.6,52.8,25.0,
Nassir,Little,SF,54,18.1,6.6,44.2,36.7,
Brandon,Boston Jr.,SG,22,11.3,6.5,41.8,41.4,
Luka,Garza,C,28,8.7,6.5,54.3,35.9,
Jay,Scrubb,SG,2,15.0,6.5,71.4,100.0,
Cody,Zeller,C,15,14.5,6.5,62.7,0.0,
JaMychal,Green,C,57,14.0,6.4,54.0,37.8,
R.J.,Hampton,PG,47,16.0,6.4,43.0,35.3,
Isaac,Okoro,SF,76,21.8,6.4,49.4,36.3,
Lindell,Wigginton,SG,7,12.4,7.1,48.6,33.3,
Jordan,Goodwin,SG,62,17.8,6.6,44.8,32.2,
Sam,Hauser,SF,80,16.1,6.4,45.5,41.8,
Duncan,Robinson,SG,42,16.5,6.4,37.1,32.8,
Dario,Saric,PF,57,14.1,6.4,45.8,39.1,
Goran,Dragic,PG,58,15.0,6.3,42.1,35.9,
Simone,Fontecchio,SF,52,14.7,6.3,36.9,33.0,
Nickeil,Alexander-Walker,SG,59,15.0,6.2,44.4,38.4,
Patrick,Beverley,PG,67,27.1,6.2,40.0,33.5,
Patty,Mills,PG,40,14.2,6.2,41.1,36.6,
Nicolas,Batum,PF,78,21.9,6.1,42.0,39.1,
Oshae,Brissett,SF,65,16.7,6.1,38.6,31.0,
Evan,Fournier,SG,27,17.0,6.1,33.7,30.7,
Sandro,Mamukelashvili,PF,43,15.4,6.1,42.2,30.3,
Mike,Muscala,C,63,15.0,6.1,44.9,39.1,
Robert,Covington,PF,48,16.2,6.0,44.5,39.7,
Andre,Drummond,C,67,12.7,6.0,60.6,0.0,
Saben,Lee,PG,25,15.0,6.0,40.5,36.7,
Maxi,Kleber,PF,37,25.1,5.9,45.6,34.8,
Jaylin,Williams,C,49,18.7,5.9,43.6,40.7,
Josh,Christopher,SG,64,12.3,5.8,46.5,23.6,
Johnny,Davis,SG,28,15.1,5.8,38.6,24.3,
Stanley,Johnson,SF,30,15.6,5.8,53.3,45.0,
Charles,Bassey,C,35,14.5,5.7,64.4,37.5,
Rodney,McGruder,SG,32,16.4,5.7,40.8,42.3,
Ziaire,Williams,SF,37,15.2,5.7,42.9,25.8,
James,Bouknight,SG,34,15.1,5.6,35.8,30.3,
Alex,Caruso,SG,67,23.5,5.6,45.5,36.4,
Montrezl,Harrell,C,57,11.9,5.6,59.8,0.0,
Jalen,Johnson,SF,70,14.9,5.6,49.1,28.8,
Davion,Mitchell,PG,80,18.1,5.6,45.4,32.0,
Payton,Pritchard,PG,48,13.4,5.6,41.2,36.4,
Derrick,Rose,PG,27,12.5,5.6,38.4,30.2,
Yuta,Watanabe,SF,58,16.0,5.6,49.1,44.4,
Jarrell,Brantley,PF,4,9.8,5.5,57.1,44.4,
Wenyen,Gabriel,PF,68,15.1,5.5,59.6,27.8,
Otto,Porter Jr.,SF,8,18.3,5.5,50.0,35.3,
Bryce,McGowens,SG,46,17.1,5.3,39.6,32.5,
Zeke,Nnaji,PF,52,14.0,5.3,56.1,26.2,
Lamar,Stevens,SF,62,18.1,5.3,44.8,31.6,
Dewayne,Dedmon,C,38,11.2,5.2,51.0,30.8,
Rudy,Gay,SF,56,14.6,5.2,38.0,25.4,
Javonte,Green,PF,32,15.0,5.2,56.5,37.1,
Ricky,Rubio,PG,33,17.2,5.2,34.3,25.6,
Lindy,Waters III,SG,41,12.9,5.2,39.3,35.8,
MarJon,Beauchamp,SF,52,13.5,5.1,39.5,33.1,
DeAndre,Jordan,C,39,15.0,5.1,76.5,100.0,
John,Konchar,SG,72,20.8,5.1,43.1,33.9,
Cody,Martin,SG,7,19.1,5.0,38.9,21.4,
Justin,Minaya,SF,4,22.3,4.3,30.4,25.0,
Mac,McClung,PG,2,20.5,12.5,45.0,36.4,
Quenton,Jackson,SG,9,15.0,6.2,45.2,8.3,
Danny,Green,SF,11,12.6,5.5,44.9,43.2,
Jamal,Cain,SF,18,13.3,5.4,56.1,35.0,
Darius,Bazley,PF,43,14.3,5.2,45.4,37.7,
Vlatko,Cancar,SF,60,14.8,5.0,47.6,37.4,
Isaiah,Hartenstein,C,82,19.9,5.0,53.5,21.6,
Jaxson,Hayes,PF,47,13.0,5.0,55.1,10.3,
George,Hill,PG,46,18.1,5.0,47.0,35.8,
Jonathan,Isaac,PF,11,11.3,5.0,41.5,40.0,
Derrick,Jones Jr.,SF,64,14.0,5.0,50.0,33.8,
Blake,Wesley,SG,37,18.1,5.0,32.1,38.5,
Ousmane,Dieng,SF,39,14.6,4.9,42.0,26.5,
Chimezie,Metu,PF,66,10.4,4.9,58.9,23.7,
Austin,Rivers,PG,52,19.5,4.9,43.5,35.0,
Danuel,House Jr.,SF,56,14.4,4.8,47.2,33.6,
Johnny,Juzang,SG,18,12.9,4.8,33.7,23.8,
Meyers,Leonard,C,9,12.7,4.8,48.3,38.9,
Garrison,Mathews,SF,54,12.7,4.8,36.3,35.0,
Moses,Moody,SF,63,13.0,4.8,47.6,36.3,
Christian,Braun,SG,76,15.5,4.7,49.5,35.4,
Keon,Johnson,SG,40,10.4,4.7,37.6,34.6,
Chuma,Okeke,PF,27,19.2,4.7,35.2,30.2,
Day'Ron,Sharpe,C,48,11.5,4.7,54.4,54.5,
Dean,Wade,PF,44,20.3,4.7,41.2,35.4,
TyTy,Washington Jr.,PG,31,14.0,4.7,36.3,23.8,
Dalano,Banton,PG,31,9.0,4.6,42.3,29.4,
Davis,Bertans,SF,45,10.9,4.6,43.1,39.0,
Malachi,Flynn,PG,53,13.0,4.6,36.0,35.3,
Kira,Lewis Jr.,PG,25,9.4,4.6,45.5,44.1,
Gary,Payton II,PG,22,16.8,4.6,59.4,50.0,
Justin,Holiday,SG,46,15.3,4.5,37.7,32.2,
Goga,Bitadze,C,38,12.0,4.4,55.2,23.1,
Jarrett,Culver,SG,10,13.7,4.4,39.5,8.3,
AJ,Green,SG,35,9.9,4.4,42.4,41.9,
Haywood,Highsmith,SF,54,17.9,4.4,43.1,33.9,
